MES;DIA;HORA;PROVINCIA;CANTÓN;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
JULIO;MARTES;22:00 A 22:59;PICHINCHA;QUITO;URBANA;0;5;5;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
JULIO;MARTES;22:00 A 22:59;AZUAY;CUENCA;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;MIÉRCOLES;00:00 A 00:59;CHIMBORAZO;COLTA;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;00:00 A 00:59;GUAYAS;NARANJAL;URBANA;0;2;2;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;01:00 A 01:59;PICHINCHA;QUITO;RURAL;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;03:00 A 03:59;GUAYAS;GUAYAQUIL;URBANA;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;04:00 A 04:59;PICHINCHA;MEJIA;RURAL;0;0;0;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
JULIO;MIÉRCOLES;06:00 A 06:59;EL ORO;MACHALA;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;06:00 A 06:59;LOS RÍOS;QUEVEDO;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;MIÉRCOLES;06:00 A 06:59;MANABÍ;PORTOVIEJO;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;MIÉRCOLES;07:00 A 07:59;MANABÍ;PORTOVIEJO;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;MIÉRCOLES;07:00 A 07:59;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;RURAL;0;0;0;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;07:00 A 07:59;PICHINCHA;QUITO;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;MIÉRCOLES;07:00 A 07:59;GUAYAS;GUAYAQUIL;URBANA;0;2;2;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;MIÉRCOLES;08:00 A 08:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;ATROPELLOS;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;08:00 A 08:59;TUNGURAHUA;AMBATO;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
JULIO;MIÉRCOLES;09:00 A 09:59;GUAYAS;GUAYAQUIL;URBANA;0;2;2;ESTRELLAMIENTOS;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;09:00 A 09:59;GUAYAS;GUAYAQUIL;URBANA;0;1;1;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
JULIO;MIÉRCOLES;09:00 A 09:59;PICHINCHA;QUITO;URBANA;0;0;0;OTROS;EXCESO VELOCIDAD
JULIO;MIÉRCOLES;10:00 A 10:59;TUNGURAHUA;AMBATO;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
JULIO;MIÉRCOLES;11:00 A 11:59;AZUAY;CUENCA;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
JULIO;MIÉRCOLES;11:00 A 11:59;MANABÍ;MANTA;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
